[ 2025-08-17 18:08:46,875 ] 21 root - INFO - Initiate the data ingestion
[ 2025-08-17 18:08:50,232 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-17 18:08:50,232 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-17 18:08:50,232 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-17 18:08:50,281 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-17 18:08:50,281 ] 23 root - INFO - Data Initiation Completed
[ 2025-08-17 18:08:50,281 ] 29 root - INFO - Initiate the data validation
[ 2025-08-17 18:08:50,308 ] 32 root - INFO - Required number of columns:2
[ 2025-08-17 18:08:50,308 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-17 18:08:50,308 ] 32 root - INFO - Required number of columns:2
[ 2025-08-17 18:08:50,308 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-17 18:08:50,441 ] 31 root - INFO - Data Validation Completed
