[ 2025-08-17 18:50:24,960 ] 21 root - INFO - Initiate the data ingestion
[ 2025-08-17 18:50:27,555 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-17 18:50:27,562 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-17 18:50:27,562 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-17 18:50:27,609 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-17 18:50:27,609 ] 23 root - INFO - Data Initiation Completed
[ 2025-08-17 18:50:27,616 ] 29 root - INFO - Initiate the data validation
[ 2025-08-17 18:50:27,644 ] 32 root - INFO - Required number of columns:2
[ 2025-08-17 18:50:27,645 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-17 18:50:27,645 ] 32 root - INFO - Required number of columns:2
[ 2025-08-17 18:50:27,645 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-17 18:50:27,780 ] 31 root - INFO - Data Validation Completed
[ 2025-08-17 18:50:27,780 ] 37 root - INFO - Initiate the data transformation
[ 2025-08-17 18:50:27,780 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-17 18:50:27,780 ] 65 root - INFO - Starting data transformation
[ 2025-08-17 18:50:27,815 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-17 18:50:27,815 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-17 18:50:27,824 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-17 18:50:27,824 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-17 18:50:27,824 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-17 18:50:27,824 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-17 18:50:27,824 ] 39 root - INFO - Data Transformation Completed
