[ 2025-08-18 01:22:25,952 ] 22 root - INFO - Initiate the data ingestion
[ 2025-08-18 01:22:27,421 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-18 01:22:27,421 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-18 01:22:27,421 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-18 01:22:27,488 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-18 01:22:27,489 ] 24 root - INFO - Data Initiation Completed
[ 2025-08-18 01:22:27,494 ] 30 root - INFO - Initiate the data validation
[ 2025-08-18 01:22:27,534 ] 32 root - INFO - Required number of columns:2
[ 2025-08-18 01:22:27,534 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-18 01:22:27,534 ] 32 root - INFO - Required number of columns:2
[ 2025-08-18 01:22:27,534 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-18 01:22:27,739 ] 32 root - INFO - Data Validation Completed
[ 2025-08-18 01:22:27,739 ] 38 root - INFO - Initiate the data transformation
[ 2025-08-18 01:22:27,739 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-18 01:22:27,739 ] 65 root - INFO - Starting data transformation
[ 2025-08-18 01:22:27,764 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-18 01:22:27,764 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-18 01:22:27,779 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-18 01:22:27,783 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-18 01:22:27,783 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-18 01:22:27,784 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-18 01:22:27,784 ] 40 root - INFO - Data Transformation Completed
[ 2025-08-18 01:22:27,784 ] 46 root - INFO - Initiate the model training and evaluation
[ 2025-08-18 01:25:37,456 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-18 01:25:37,456 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-18 01:25:37,456 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-18 01:25:37,497 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-18 01:25:37,497 ] 146 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_18_2025_01_22_24\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9917020845982595, precision_score=0.9911003236245954, recall_score=0.9923045767517213), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9750102417042196, precision_score=0.9738134206219312, recall_score=0.9762100082034455))
[ 2025-08-18 01:25:37,499 ] 48 root - INFO - Model Training and Evaluation Completed
